Map ID,Division,Code,Description,Level,Keyword 1,Weight 1,Keyword 2,Weight 2,Keyword 3,Weight 3,Keyword 4,Weight 4,Keyword 5,Weight 5,Project Elements Data
,01,01 00 00,General Requirements,2,,1,,1,,1,,1,,1,
,01,01 30 00,Administrative Requirements,3,,1,,1,,1,,1,,1,
,01,01 31 00,Project Management and Coordination,3,,1,,1,,1,,1,,1,
,01,01 31 13,Project Coordination,4,,1,,1,,1,,1,,1,
,01,01 31 14,Facility Services Coordination,4,,1,,1,,1,,1,,1,
,01,01 31 16,Multiple Contract Coordination,4,,1,,1,,1,,1,,1,
,01,01 31 19,Project Meetings,4,,1,,1,,1,,1,,1,
,01,01 31 19.13,Preconstruction Meetings,5,,1,,1,,1,,1,,1,
,01,01 31 19.16,Site Mobilization Meetings,5,,1,,1,,1,,1,,1,
,01,01 31 19.23,Progress Meetings,5,,1,,1,,1,,1,,1,
,01,01 31 19.33,Preinstallation Meetings,5,,1,,1,,1,,1,,1,
,01,01 31 23,Project Web Site,4,,1,,1,,1,,1,,1,
,01,01 31 26,Electronic Communication Protocols,4,,1,,1,,1,,1,,1,
,01,01 32 00,Construction Progress Documentation,3,,1,,1,,1,,1,,1,
,01,01 32 13,Scheduling of Work,4,,1,,1,,1,,1,,1,
,01,01 32 16,Construction Progress Schedule,4,,1,,1,,1,,1,,1,
,01,01 32 16.13,Network Analysis Schedules,5,,1,,1,,1,,1,,1,
,01,01 32 19,Submittals Schedule,4,,1,,1,,1,,1,,1,
,01,01 32 23,Survey and Layout Data,4,,1,,1,,1,,1,,1,
,01,01 32 26,Construction Progress Reporting,4,,1,,1,,1,,1,,1,
,01,01 32 29,Periodic Work Observation,4,,1,,1,,1,,1,,1,
,01,01 32 33,Photographic Documentation,4,,1,,1,,1,,1,,1,
,01,01 32 36,Video Monitoring and Documentation,4,,1,,1,,1,,1,,1,
,01,01 32 43,Purchase Order Tracking,4,,1,,1,,1,,1,,1,
,01,01 35 00,Special Procedures,3,,1,,1,,1,,1,,1,
,01,01 35 13,Special Project Procedures,4,,1,,1,,1,,1,,1,
,01,01 35 13.13,Special Project Procedures for Airport Facilities,5,,1,,1,,1,,1,,1,
,01,01 35 13.16,Special Project Procedures for Detention Facilities,5,,1,,1,,1,,1,,1,
,01,01 35 13.19,Special Project Procedures for Health care Facilities,5,,1,,1,,1,,1,,1,
,01,01 35 13.26,Special Project Procedures for Clean Rooms,5,,1,,1,,1,,1,,1,
,01,01 35 13.43,Special Project Procedures for Contaminated Sites,5,,1,,1,,1,,1,,1,
,01,01 35 16,Alteration Project Procedures,4,,1,,1,,1,,1,,1,
,01,01 35 23,Owner Safety Requirements,4,,1,,1,,1,,1,,1,
,01,01 35 26,Governmental Safety Requirements,4,,1,,1,,1,,1,,1,
,01,01 35 29,"Health, Safety, and Emergency Response Procedures",4,,1,,1,,1,,1,,1,
,01,01 35 29.13,"Health, Safety, and Emergency Response Procedures for Contaminated Sites",5,,1,,1,,1,,1,,1,
,01,01 35 33,Infection Control Procedures,4,,1,,1,,1,,1,,1,
,01,01 35 43,Environmental Procedures,4,,1,,1,,1,,1,,1,
,01,01 35 43.13,Environmental Procedures for Hazardous Materials,5,,1,,1,,1,,1,,1,
,01,01 35 43.16,Environmental Procedures for Toxic Materials,5,,1,,1,,1,,1,,1,
,01,01 35 46,Indoor Air Quality Procedures,4,,1,,1,,1,,1,,1,
,01,01 35 53,Security Procedures,4,,1,,1,,1,,1,,1,
,01,01 35 63,Sustainability Certification Project Requirements,4,,1,,1,,1,,1,,1,
,01,01 35 66,Sustainability Certification Project Procedures,4,,1,,1,,1,,1,,1,
,01,01 35 91,Historic Treatment Procedures,4,,1,,1,,1,,1,,1,
,01,01 50 00,Temporary Facilities and Controls,3,,1,,1,,1,,1,,1,
,01,01 51 00,Temporary Utilities,3,,1,,1,,1,,1,,1,
,01,01 51 13,Temporary Electricity,4,,1,,1,,1,,1,,1,
,01,01 51 16,Temporary Fire Protection,4,,1,,1,,1,,1,,1,
,01,01 51 19,Temporary Fuel Oil,4,,1,,1,,1,,1,,1,
,01,01 51 23,"Temporary Heating, Cooling, and Ventilating",4,,1,,1,,1,,1,,1,
,01,01 51 26,Temporary Lighting,4,,1,,1,,1,,1,,1,
,01,01 51 29,Temporary Natural-Gas,4,,1,,1,,1,,1,,1,
,01,01 51 33,Temporary Telecommunications,4,,1,,1,,1,,1,,1,
,01,01 51 36,Temporary Water,4,,1,,1,,1,,1,,1,
,01,01 52 00,Construction Facilities,3,,1,,1,,1,,1,,1,
,01,01 52 13,Field Offices and Sheds,4,,1,,1,,1,,1,,1,
,01,01 52 16,First Aid Facilities,4,,1,,1,,1,,1,,1,
,01,01 52 19,Sanitary Facilities,4,,1,,1,,1,,1,,1,
,01,01 53 00,Temporary Construction,3,,1,,1,,1,,1,,1,
,01,01 53 13,Temporary Bridges,4,,1,,1,,1,,1,,1,
,01,01 53 16,Temporary Decking,4,,1,,1,,1,,1,,1,
,01,01 53 19,Temporary Overpasses,4,,1,,1,,1,,1,,1,
,01,01 53 23,Temporary Ramps,4,,1,,1,,1,,1,,1,
,01,01 53 26,Temporary Runarounds,4,,1,,1,,1,,1,,1,
,01,01 54 00,Construction Aids,3,,1,,1,,1,,1,,1,
,01,01 54 13,Temporary Elevators,4,,1,,1,,1,,1,,1,
,01,01 54 16,Temporary Hoists,4,,1,,1,,1,,1,,1,
,01,01 54 19,Temporary Cranes,4,,1,,1,,1,,1,,1,
,01,01 54 23,Temporary Scaffolding and Platforms,4,,1,,1,,1,,1,,1,
,01,01 54 26,Temporary Swing Staging,4,,1,,1,,1,,1,,1,
,01,01 55 00,Vehicular Access and Parking,3,,1,,1,,1,,1,,1,
,01,01 55 13,Temporary Access Roads,4,,1,,1,,1,,1,,1,
,01,01 55 16,Haul Routes,4,,1,,1,,1,,1,,1,
,01,01 55 19,Temporary Parking Areas,4,,1,,1,,1,,1,,1,
,01,01 55 23,Temporary Roads,4,,1,,1,,1,,1,,1,
,01,01 55 26,Traffic Control,4,,1,,1,,1,,1,,1,
,01,01 55 29,Staging Areas,4,,1,,1,,1,,1,,1,
,01,01 56 00,Temporary Barriers and Enclosures,3,,1,,1,,1,,1,,1,
,01,01 56 13,Temporary Air Barriers,4,,1,,1,,1,,1,,1,
,01,01 56 16,Temporary Dust Barriers,4,,1,,1,,1,,1,,1,
,01,01 56 19,Temporary Noise Barriers,4,,1,,1,,1,,1,,1,
,01,01 56 23,Temporary Barricades,4,,1,,1,,1,,1,,1,
,01,01 56 26,Temporary Fencing,4,,1,,1,,1,,1,,1,
,01,01 56 29,Temporary Protective Walkways,4,,1,,1,,1,,1,,1,
,01,01 56 33,Temporary Security Barriers,4,,1,,1,,1,,1,,1,
,01,01 56 36,Temporary Security Enclosures,4,,1,,1,,1,,1,,1,
,01,01 56 39,Temporary Tree and Plant Protection,4,,1,,1,,1,,1,,1,
,01,01 57 00,Temporary Controls,3,,1,,1,,1,,1,,1,
,01,01 57 13,Temporary Erosion and Sediment Control,4,,1,,1,,1,,1,,1,
,01,01 57 16,Temporary Pest Control,4,,1,,1,,1,,1,,1,
,01,01 57 19,Temporary Environmental Controls,4,,1,,1,,1,,1,,1,
,01,01 57 23,Temporary Storm Water Pollution Control,4,,1,,1,,1,,1,,1,
,01,01 58 00,Project Identification,3,,1,,1,,1,,1,,1,
,01,01 58 13,Temporary Project Signage,4,,1,,1,,1,,1,,1,
,01,01 58 16,Temporary Interior Signage,4,,1,,1,,1,,1,,1,
,01,01 70 00,Execution and Closeout Requirements,3,,1,,1,,1,,1,,1,
,01,01 71 00,Examination and Preparation,3,,1,,1,,1,,1,,1,
,01,01 71 13,Mobilization,4,,1,,1,,1,,1,,1,
,01,01 71 16,Acceptance of Conditions,4,,1,,1,,1,,1,,1,
,01,01 71 23,Field Engineering,4,,1,,1,,1,,1,,1,
,01,01 71 23.13,Construction Layout,5,,1,,1,,1,,1,,1,
,01,01 71 23.16,Construction Surveying,5,,1,,1,,1,,1,,1,
,01,01 71 33,Protection of Adjacent Construction,4,,1,,1,,1,,1,,1,
,01,01 73 00,Execution,3,,1,,1,,1,,1,,1,
,01,01 73 13,Application,4,,1,,1,,1,,1,,1,
,01,01 73 16,Erection,4,,1,,1,,1,,1,,1,
,01,01 73 19,Installation,4,,1,,1,,1,,1,,1,
,01,01 73 23,Bracing and Anchoring,4,,1,,1,,1,,1,,1,
,01,01 73 26,Existing Products,4,,1,,1,,1,,1,,1,
,01,01 73 29,Cutting and Patching,4,,1,,1,,1,,1,,1,
,01,01 74 00,Cleaning and Waste Management,3,,1,,1,,1,,1,,1,
,01,01 74 13,Progress Cleaning,4,,1,,1,,1,,1,,1,
,01,01 74 16,Site Maintenance,4,,1,,1,,1,,1,,1,
,01,01 74 19,Construction Waste Management and Disposal,4,,1,,1,,1,,1,,1,
,01,01 74 23,Final Cleaning,4,,1,,1,,1,,1,,1,
,01,01 75 00,Starting and Adjusting,3,,1,,1,,1,,1,,1,
,01,01 75 13,Checkout Procedures,4,,1,,1,,1,,1,,1,
,01,01 75 16,Startup Procedures,4,,1,,1,,1,,1,,1,
,01,01 76 00,Protecting Installed Construction,3,,1,,1,,1,,1,,1,
,01,01 77 00,Closeout Procedures,3,,1,,1,,1,,1,,1,
,01,01 77 13,Preliminary Closeout Reviews,4,,1,,1,,1,,1,,1,
,01,01 77 16,Final Closeout Review,4,,1,,1,,1,,1,,1,
,01,01 77 19,Closeout Requirements,4,,1,,1,,1,,1,,1,
,01,01 78 00,Closeout Submittals,3,,1,,1,,1,,1,,1,
,01,01 78 13,Completion and Correction List,4,,1,,1,,1,,1,,1,
,01,01 78 19,Maintenance Contracts,4,,1,,1,,1,,1,,1,
,01,01 78 23,Operation and Maintenance Data,4,,1,,1,,1,,1,,1,
,01,01 78 23.13,Operation Data,5,,1,,1,,1,,1,,1,
,01,01 78 23.16,Maintenance Data,5,,1,,1,,1,,1,,1,
,01,01 78 23.19,Preventative Maintenance Instructions,5,,1,,1,,1,,1,,1,
,01,01 78 29,Final Site Survey,4,,1,,1,,1,,1,,1,
,01,01 78 33,Bonds,4,,1,,1,,1,,1,,1,
,01,01 78 36,Warranties,4,,1,,1,,1,,1,,1,
,01,01 78 39,Project Record Documents,4,,1,,1,,1,,1,,1,
,01,01 78 43,Spare Parts,4,,1,,1,,1,,1,,1,
,01,01 78 46,Extra Stock Materials,4,,1,,1,,1,,1,,1,
,01,01 78 53,Sustainable Design Closeout Documentation,4,,1,,1,,1,,1,,1,
,01,01 79 00,Demonstration and Training,3,,1,,1,,1,,1,,1,
,01,01 90 00,Life Cycle Activities,3,,1,,1,,1,,1,,1,
,01,01 91 00,Commissioning,3,,1,,1,,1,,1,,1,
,01,01 91 13,General Commissioning Requirements,4,,1,,1,,1,,1,,1,
,01,01 91 16,Facility Substructure Commissioning,4,,1,,1,,1,,1,,1,
,01,01 91 16.13,Foundation Commissioning,5,,1,,1,,1,,1,,1,
,01,01 91 16.53,Basement Construction Commissioning,5,,1,,1,,1,,1,,1,
,01,01 91 19,Facility Shell Commissioning,4,,1,,1,,1,,1,,1,
,01,01 91 19.13,Superstructure Commissioning,5,,1,,1,,1,,1,,1,
,01,01 91 19.43,Exterior Enclosure Commissioning,5,,1,,1,,1,,1,,1,
,01,01 91 19.73,Roofing Commissioning,5,,1,,1,,1,,1,,1,
,01,01 91 23,Interiors Commissioning,4,,1,,1,,1,,1,,1,
,01,01 91 23.13,Interior Construction Commissioning,5,,1,,1,,1,,1,,1,
,01,01 91 23.43,Stairways Commissioning,5,,1,,1,,1,,1,,1,
,01,01 91 23.73,Interior Finishes Commissioning,5,,1,,1,,1,,1,,1,
,01,01 92 00,Facility Operation,3,,1,,1,,1,,1,,1,
,01,01 92 13,Facility Operation Procedures,4,,1,,1,,1,,1,,1,
,01,01 93 00,Facility Maintenance,3,,1,,1,,1,,1,,1,
,01,01 93 13,Facility Maintenance Procedures,4,,1,,1,,1,,1,,1,
,01,01 93 16,Recycling Programs,4,,1,,1,,1,,1,,1,
,01,01 94 00,Facility Decommissioning,3,,1,,1,,1,,1,,1,
,01,01 94 13,Facility Decommissioning Procedures,4,,1,,1,,1,,1,,1,
,02,02 00 00,Existing Conditions,2,,1,,1,,1,,1,,1,
,02,02 01 00,Maintenance of Existing Conditions,3,,1,,1,,1,,1,,1,
,02,02 01 50,Maintenance of Site Remediation,4,,1,,1,,1,,1,,1,
,02,02 01 65,Maintenance of Underground Storage Tank Removal,4,,1,,1,,1,,1,,1,
,02,02 01 80,Maintenance of Facility Remediation,4,,1,,1,,1,,1,,1,
,02,02 01 86,Maintenance of Hazardous Waste Drum Handling,4,,1,,1,,1,,1,,1,
,02,02 05 00,Common Work Results for Existing Conditions,3,,1,,1,,1,,1,,1,
,02,02 05 19,Geosynthetics for Existing Conditions,4,,1,,1,,1,,1,,1,
,02,02 05 19.13,Geotextiles for Existing Conditions,5,,1,,1,,1,,1,,1,
,02,02 05 19.16,Geomembranes for Existing Conditions,5,,1,,1,,1,,1,,1,
,02,02 05 19.19,Geogrids for Existing Conditions,5,,1,,1,,1,,1,,1,
,02,02 08 00,Commissioning of Existing Conditions,3,,1,,1,,1,,1,,1,
,02,02 20 00,Assessment,3,,1,,1,,1,,1,,1,
,02,02 21 00,Surveys,3,,1,,1,,1,,1,,1,
,02,02 21 13,Site Surveys,4,,1,,1,,1,,1,,1,
,02,02 21 13.13,Boundary and Survey Markers,5,,1,,1,,1,,1,,1,
,02,02 21 13.23,Archeological and Historic Surveys,5,,1,,1,,1,,1,,1,
,02,02 21 16,Measured Drawings,4,,1,,1,,1,,1,,1,
,02,02 22 00,Existing Conditions Assessment,3,,1,,1,,1,,1,,1,
,02,02 22 13,Movement and Vibration Assessment,4,,1,,1,,1,,1,,1,
,02,02 22 16.6 ,Acoustic Assessment,5,,1,,1,,1,,1,,1,
,02,02 22 19,Traffic Assessment,4,,1,,1,,1,,1,,1,
,02,02 22 23,Accessibility Assessment,4,,1,,1,,1,,1,,1,
,02,02 24 00,Environmental Assessment,3,,1,,1,,1,,1,,1,
,02,02 24 13,Natural Environment Assessment,4,,1,,1,,1,,1,,1,
,02,02 24 13.13,Air Assessment,5,,1,,1,,1,,1,,1,
,02,02 24 13.43,Water Assessment,5,,1,,1,,1,,1,,1,
,02,02 24 13.73,Land Assessment,5,,1,,1,,1,,1,,1,
,02,02 24 23,Chemical Sampling and Analysis of Soils,4,,1,,1,,1,,1,,1,
,02,02 24 43,Transboundary and Global Environmental Aspects Assessment,4,,1,,1,,1,,1,,1,
,02,02 25 00,Existing Material Assessment,3,,1,,1,,1,,1,,1,
,02,02 25 16,Existing Concrete Assessment,4,,1,,1,,1,,1,,1,
,02,02 25 16.13,Concrete Assessment Drilling,5,,1,,1,,1,,1,,1,
,02,02 25 19,Existing Masonry Assessment,4,,1,,1,,1,,1,,1,
,02,02 25 19.13,Masonry Assessment Drilling,5,,1,,1,,1,,1,,1,
,02,02 25 23,Existing Metals Assessment,4,,1,,1,,1,,1,,1,
,02,02 25 23.13,Welding Investigations,5,,1,,1,,1,,1,,1,
,02,02 25 26,"Existing Wood, Plastics, and Composites Assessment",4,,1,,1,,1,,1,,1,
,02,02 25 29,Existing Thermal and Moisture Protection Assessment,4,,1,,1,,1,,1,,1,
,02,02 25 29.13,Waterproofing Investigations,5,,1,,1,,1,,1,,1,
,02,02 25 29.23,Roofing Investigations,5,,1,,1,,1,,1,,1,
,02,02 26 00,Hazardous Material Assessment,3,,1,,1,,1,,1,,1,
,02,02 26 23,Asbestos Assessment,4,,1,,1,,1,,1,,1,
,02,02 26 26,Lead Assessment,4,,1,,1,,1,,1,,1,
,02,02 26 29,Polychlorinate Biphenyl Assessment,4,,1,,1,,1,,1,,1,
,02,02 26 33,Biological Assessment,4,,1,,1,,1,,1,,1,
,02,02 26 33.13,Mold Assessment,5,,1,,1,,1,,1,,1,
,02,02 26 36,Hazardous Waste Drum Assessment,4,,1,,1,,1,,1,,1,
,02,02 30 00,Subsurface Investigation,3,,1,,1,,1,,1,,1,
,02,02 31 00,Geophysical Investigations,3,,1,,1,,1,,1,,1,
,02,02 31 13,Seismic Investigations,4,,1,,1,,1,,1,,1,
,02,02 31 16,Gravity Investigations,4,,1,,1,,1,,1,,1,
,02,02 31 19,Magnetic Investigations,4,,1,,1,,1,,1,,1,
,02,02 31 23,Electromagnetic Investigations,4,,1,,1,,1,,1,,1,
,02,02 31 26,Electrical Resistivity Investigations,4,,1,,1,,1,,1,,1,
,02,02 31 29,Magnetotelluric Investigations,4,,1,,1,,1,,1,,1,
,02,02 32 00,Geotechnical Investigations,3,,1,,1,,1,,1,,1,
,02,02 32 13,Subsurface Drilling and Sampling,4,,1,,1,,1,,1,,1,
,02,02 32 16,Material Testing,4,,1,,1,,1,,1,,1,
,02,02 32 19,Exploratory Excavations,4,,1,,1,,1,,1,,1,
,02,02 32 23,Geotechnical Monitoring Before Construction,4,,1,,1,,1,,1,,1,
,02,02 32 23.13,Groundwater Monitoring Before Construction,5,,1,,1,,1,,1,,1,
,02,02 40 00,Demolition and Structure Moving,3,,1,,1,,1,,1,,1,
,02,02 41 00,Demolition,3,,1,,1,,1,,1,,1,
,02,02 41 13,Selective Site Demolition,4,,1,,1,,1,,1,,1,
,02,02 41 13.13,Paving Removal,5,,1,,1,,1,,1,,1,
,02,02 41 13.23,Utility Line Removal,5,,1,,1,,1,,1,,1,
,02,02 41 13.33,Railtrack Removal,5,,1,,1,,1,,1,,1,
,02,02 41 16,Structure Demolition,4,,1,,1,,1,,1,,1,
,02,02 41 16.13,Building Demolition,5,,1,,1,,1,,1,,1,
,02,02 41 16.23,Tower Demolition,5,,1,,1,,1,,1,,1,
,02,02 41 16.33,Bridge Demolition,5,,1,,1,,1,,1,,1,
,02,02 41 16.43,Dam Demolition,5,,1,,1,,1,,1,,1,
,02,02 41 19,Selective Demolition,4,,1,,1,,1,,1,,1,
,02,02 41 19.13,Selective Building Demolition,5,,1,,1,,1,,1,,1,
,02,02 41 19.16,Selective Interior Demolition,5,,1,,1,,1,,1,,1,
,02,02 41 19.19,Selective Facility Services Demolition,5,,1,,1,,1,,1,,1,
,02,02 41 19.33,Selective Bridge Demolition,5,,1,,1,,1,,1,,1,
,02,02 41 91,Selective Historic Demolition,4,,1,,1,,1,,1,,1,
,02,02 42 00,Removal and Salvage of Construction Materials,3,,1,,1,,1,,1,,1,
,02,02 42 13,Deconstruction of Structures,4,,1,,1,,1,,1,,1,
,02,02 42 13.13,Deconstruction of Buildings,5,,1,,1,,1,,1,,1,
,02,02 42 91,Removal and Salvage of Historic Construction Materials,4,,1,,1,,1,,1,,1,
,02,02 43 00,Structure Moving,3,,1,,1,,1,,1,,1,
,02,02 43 13,Structure Relocation,4,,1,,1,,1,,1,,1,
,02,02 43 13.13,Building Relocation,5,,1,,1,,1,,1,,1,
,02,02 43 16,Structure Raising,4,,1,,1,,1,,1,,1,
,02,02 43 16.13,Building Raising,5,,1,,1,,1,,1,,1,
,02,02 50 00,Site Remediation,3,,1,,1,,1,,1,,1,
,02,02 51 00,Physical Decontamination,3,,1,,1,,1,,1,,1,
,02,02 51 13,Coagulation and Flocculation Decontamination,4,,1,,1,,1,,1,,1,
,02,02 51 16,Reverse-Osmosis Decontamination,4,,1,,1,,1,,1,,1,
,02,02 51 19,Solidification and Stabilization Decontamination,4,,1,,1,,1,,1,,1,
,02,02 51 23,Mechanical Filtration Decontamination,4,,1,,1,,1,,1,,1,
,02,02 51 26,Radioactive Decontamination,4,,1,,1,,1,,1,,1,
,02,02 51 29,Surface Cleaning Decontamination,4,,1,,1,,1,,1,,1,
,02,02 51 29.13,High-Pressure Water Cleaning Decontamination,5,,1,,1,,1,,1,,1,
,02,02 51 29.16,Vacuum Sweeping Cleaning Decontamination,5,,1,,1,,1,,1,,1,
,02,02 51 33,Surface Removal Decontamination,4,,1,,1,,1,,1,,1,
,02,02 51 33.13,Surface Removal Decontamination by Grinding,5,,1,,1,,1,,1,,1,
,02,02 51 33.16,Surface Removal Decontamination by Sand Blasting,5,,1,,1,,1,,1,,1,
,02,02 51 33.19,Surface Removal Decontamination by Ultrasound,5,,1,,1,,1,,1,,1,
,02,02 52 00,Chemical Decontamination,3,,1,,1,,1,,1,,1,
,02,02 52 13,Chemical Precipitation Decontamination,4,,1,,1,,1,,1,,1,
,02,02 52 16,Ion Change Decontamination,4,,1,,1,,1,,1,,1,
,02,02 52 19,Neutralization Decontamination,4,,1,,1,,1,,1,,1,
,02,02 53 00,Thermal Decontamination,3,,1,,1,,1,,1,,1,
,02,02 53 13,Incineration Decontamination,4,,1,,1,,1,,1,,1,
,02,02 53 13.13,Remediation of Contaminated Soils and Sludges by Incineration,5,,1,,1,,1,,1,,1,
,02,02 53 16,Thermal Desorption Decontamination,4,,1,,1,,1,,1,,1,
,02,02 53 16.13,Remediation of Contaminated Soils by Thermal Desorption,5,,1,,1,,1,,1,,1,
,02,02 53 19,Vitrification Decontamination,4,,1,,1,,1,,1,,1,
,02,02 54 00,Biological Decontamination,3,,1,,1,,1,,1,,1,
,02,02 54 13,Aerobic Processes Decontamination,4,,1,,1,,1,,1,,1,
,02,02 54 16,Anaerobic Processes Decontamination,4,,1,,1,,1,,1,,1,
,02,02 54 19,Bioremediation Decontamination,4,,1,,1,,1,,1,,1,
,02,02 54 19.13,Bioremediation Using Landfarming,5,,1,,1,,1,,1,,1,
,02,02 54 19.16,Bioremediation of Soils Using Windrow Composting,5,,1,,1,,1,,1,,1,
,02,02 54 19.19,Bioremediation Using Bacteria Injection,5,,1,,1,,1,,1,,1,
,02,02 54 23,Soil Washing through Separation/Solubilization,4,,1,,1,,1,,1,,1,
,02,02 54 26,Organic Decontamination,4,,1,,1,,1,,1,,1,
,02,02 55 00,Remediation Soil Stabilization,3,,1,,1,,1,,1,,1,
,02,02 56 00,Site Containment,3,,1,,1,,1,,1,,1,
,02,02 56 13,Waste Containment,4,,1,,1,,1,,1,,1,
,02,02 56 13.13,Geomembrane Waste Containment,5,,1,,1,,1,,1,,1,
,02,02 56 19,Gas Containment,4,,1,,1,,1,,1,,1,
,02,02 56 19.13,Fluid-Applied Gas Barrier,5,,1,,1,,1,,1,,1,
,02,02 57 00,Sinkhole Remediation,3,,1,,1,,1,,1,,1,
,02,02 57 13,Sinkhole Remediation by Grouting,4,,1,,1,,1,,1,,1,
,02,02 57 13.13,Sinkhole Remediation by Compaction Grouting,5,,1,,1,,1,,1,,1,
,02,02 57 13.16,Sinkhole Remediation by Cap Grouting,5,,1,,1,,1,,1,,1,
,02,02 57 16,Sinkhole Remediation by Backfilling,4,,1,,1,,1,,1,,1,
,02,02 58 00,Snow Control,3,,1,,1,,1,,1,,1,
,02,02 58 13,Snow Fencing,4,,1,,1,,1,,1,,1,
,02,02 58 16,Snow Avalanche Control,4,,1,,1,,1,,1,,1,
,02,02 60 00,Contaminated Site Material Removal,3,,1,,1,,1,,1,,1,
,02,02 61 00,Removal and Disposal of Contaminated Soils,3,,1,,1,,1,,1,,1,
,02,02 61 13,Excavation and Handling of Contaminated Material,4,,1,,1,,1,,1,,1,
,02,02 61 23,Removal and Disposal of Polychlorinate Biphenyl Contaminated Soils,4,,1,,1,,1,,1,,1,
,02,02 61 26,Removal and Disposal of Asbestos Contaminated Soils,4,,1,,1,,1,,1,,1,
,02,02 61 29,Removal and Disposal of Organically Contaminated Soils,4,,1,,1,,1,,1,,1,
,02,02 62 00,Hazardous Waste Recovery Processes,3,,1,,1,,1,,1,,1,
,02,02 62 13,Air and Steam Stripping,4,,1,,1,,1,,1,,1,
,02,02 62 16,Soil Vapor Extraction,4,,1,,1,,1,,1,,1,
,02,02 62 19,Soil Washing and Flushing,4,,1,,1,,1,,1,,1,
,02,02 65 00,Underground Storage Tank Removal,3,,1,,1,,1,,1,,1,
,02,02 66 00,Landfill Construction and Storage,3,,1,,1,,1,,1,,1,
,02,02 70 00,Water Remediation,3,,1,,1,,1,,1,,1,
,02,02 71 00,Groundwater Treatment,3,,1,,1,,1,,1,,1,
,02,02 72 00,Water Decontamination,3,,1,,1,,1,,1,,1,
,02,02 72 13,Chemical Water Decontamination,4,,1,,1,,1,,1,,1,
,02,02 72 16,Biological Water Decontamination,4,,1,,1,,1,,1,,1,
,02,02 72 19,Electrolysis Water Decontamination,4,,1,,1,,1,,1,,1,
,02,02 80 00,Facility Remediation,3,,1,,1,,1,,1,,1,
,02,02 81 00,Transportation and Disposal of Hazardous Materials,3,,1,,1,,1,,1,,1,
,02,02 82 00,Asbestos Remediation,3,,1,,1,,1,,1,,1,
,02,02 82 13,Asbestos Abatement,4,,1,,1,,1,,1,,1,
,02,02 82 13.13,Glovebag Asbestos Abatement,5,,1,,1,,1,,1,,1,
,02,02 82 13.16,Precautions for Asbestos Abatement,5,,1,,1,,1,,1,,1,
,02,02 82 13.19,Asbestos Floor Tile and Mastic Abatement,5,,1,,1,,1,,1,,1,
,02,02 82 16,Engineering Control of Asbestos Containing Materials,4,,1,,1,,1,,1,,1,
,02,02 82 33,Removal and Disposal of Asbestos Containing Materials,4,,1,,1,,1,,1,,1,
,02,02 83 00,Lead Remediation,3,,1,,1,,1,,1,,1,
,02,02 83 13,Lead Hazard Control Activities,4,,1,,1,,1,,1,,1,
,02,02 83 19,Lead-Based Paint Remediation,4,,1,,1,,1,,1,,1,
,02,02 83 19.13,Lead-Based Paint Abatement,5,,1,,1,,1,,1,,1,
,02,02 83 33,Removal and Disposal of Material Containing Lead,4,,1,,1,,1,,1,,1,
,02,02 83 33.13,Lead-Based Paint Removal and Disposal,5,,1,,1,,1,,1,,1,
,02,02 84 00,Polychlorinate Biphenyl Remediation,3,,1,,1,,1,,1,,1,
,02,02 84 16,Handling of Lighting Ballasts and Lamps Containing PCBs and Mercury,4,,1,,1,,1,,1,,1,
,02,02 84 33,Removal and Disposal of Polychlorinate Biphenyls,4,,1,,1,,1,,1,,1,
,02,02 85 00,Mold Remediation,3,,1,,1,,1,,1,,1,
,02,02 85 13,Precautions for Mold Remediation,4,,1,,1,,1,,1,,1,
,02,02 85 16,Mold Remediation Preparation and Containment,4,,1,,1,,1,,1,,1,
,02,02 85 19,Mold Remediation Clearance Air Sampling,4,,1,,1,,1,,1,,1,
,02,02 85 33,Removal and Disposal of Materials with Mold,4,,1,,1,,1,,1,,1,
,02,02 86 00,Hazardous Waste Drum Handling,3,,1,,1,,1,,1,,1,
,03,03 00 00,Concrete,2,,1,,1,,1,,1,,1,
,03,03 01 00,Maintenance of Concrete,3,,1,,1,,1,,1,,1,
,03,03 01 10,Maintenance of Concrete Forming and Accessories,4,,1,,1,,1,,1,,1,
,03,03 01 20,Maintenance of Concrete Reinforcing,4,,1,,1,,1,,1,,1,
,03,03 01 23,Maintenance of Stressing Tendons,4,,1,,1,,1,,1,,1,
,03,03 01 30,Maintenance of Cast-in-Place Concrete,4,,1,,1,,1,,1,,1,
,03,03 01 30.51,Cleaning of Cast-in-Place Concrete,5,,1,,1,,1,,1,,1,
,03,03 01 30.61,Resurfacing of Cast-in-Place Concrete,5,,1,,1,,1,,1,,1,
,03,03 01 30.71,Rehabilitation of Cast-in-Place Concrete,5,,1,,1,,1,,1,,1,
,03,03 01 30.72,Strengthening of Cast-in-Place Concrete,5,,1,,1,,1,,1,,1,
,03,03 01 40,Maintenance of Precast Concrete,4,,1,,1,,1,,1,,1,
,03,03 01 40.51,Cleaning of Precast Concrete,5,,1,,1,,1,,1,,1,
,03,03 01 40.61,Resurfacing of Precast Concrete,5,,1,,1,,1,,1,,1,
,03,03 01 40.71,Rehabilitation of Precast Concrete,5,,1,,1,,1,,1,,1,
,03,03 01 40.72,Strengthening of Precast Concrete,5,,1,,1,,1,,1,,1,
